"","year","team","xpts","xG","xGA","netTransferSpend_Attacker","netTransferSpend_Defender","netTransferSpend_Midfielder","netTransferSpend_Total","avgAge_Attacker","avgAge_Defender","avgAge_Midfielder","avgAge_Overall","n_Attacker","n_Defender","n_Midfielder"
"1",2014,"Chelsea",75.3172,68.64332,31.5243441,43.803,11.223,31.95,86.976,23.4761904761905,22.7727272727273,22.7368421052632,1426,21,22,19
"2",2014,"Manchester City",73.0982,75.815441,40.499403,0,47.7,15.75,63.45,23,25.3333333333333,25,568,5,9,9
"3",2014,"Arsenal",75.174,69.802591,35.718825,56.25,-42.75,-13.5,0,22.7272727272727,24.7857142857143,23.5,691,11,14,4
"4",2014,"Manchester United",63.0327,54.20686,39.842347,74.34,67.46,32.4,174.2,23,23.4117647058824,24.8,968,14,17,10
"5",2014,"Tottenham",48.9361,52.385284,57.044148,-77.15,27.54,4.5,-45.11,23.5,23.7058823529412,21.8333333333333,806,6,17,12
"6",2014,"Liverpool",61.1673,51.697226,38.249721,48.9,36.32,36.9,122.12,22.4,23.1,21.4444444444444,879,10,20,9
"7",2014,"Southampton",62.8166,54.965667,39.11352,43.2,13.95,0,57.15,25.8,25.4,24.1428571428571,937,15,15,7
"8",2014,"Swansea",43.3167,40.901235,55.94297,-47.17,-48.09,-15.21,-110.47,25.0833333333333,24.3157894736842,24.7142857142857,936,12,19,7
"9",2014,"Stoke",51.9715,46.260597,47.030662,1.62,-11.34,-1.13,-10.85,23.8571428571429,22.6,26.1666666666667,663,7,15,6
"10",2014,"Crystal Palace",50.557,44.756683,45.484365,-48.92,-40.86,7.92,-81.86,27.4285714285714,25.3913043478261,23.7,1205,14,23,10
"11",2014,"West Ham",47.2178,46.687234,57.402133,-48.6,-28.12,-39.15,-115.87,23,24.3333333333333,26.0909090909091,828,14,9,11
"12",2014,"Everton",50.9105,44.888185,46.182073,31.82,0,4.32,36.14,23.5,20,22.375,494,10,4,8
"13",2014,"West Bromwich Albion",44.7359,38.6277291,53.748536,-1.95,-19.44,-40.5,-61.89,26,26.9090909090909,0,478,7,11,9
"14",2014,"Leicester",44.64,48.206401,56.392116,7.43,2.025,-2.07,7.385,24.7333333333333,25.9090909090909,26.0833333333333,969,15,11,12
"15",2014,"Newcastle United",45.6305,40.221386,51.014275,9.29,14.4,-19.31,4.38,22,21.9230769230769,24,819,9,13,14
"16",2014,"Aston Villa",40.8917,33.102671,49.706256,-19.35,-0.135,-3.195,-22.68,22,23.7692307692308,24.75,848,11,13,12
"17",2014,"Sunderland",44.1821,37.446153,51.464371,2.8,1.71,12.6,17.11,23.25,24.695652173913,25.2307692307692,989,4,23,13
"18",2014,"Hull",41.3213,32.791033,46.992957,-25.24,4.871,-21.56,-41.929,23.9333333333333,24.1666666666667,24.875,848,15,12,8
"19",2014,"Burnley",39.7959,39.372649,57.888856,8.487,0.0719999999999999,-0.63,7.929,23.625,23.5789473684211,25.8571428571429,818,8,19,7
"20",2014,"Queens Park Rangers",40.2773,45.726091,65.262558,-1.58,-10.481,9.64,-2.421,24,23.8333333333333,26.3157894736842,1360,12,24,19
"21",2015,"Leicester",68.9442,68.416034,45.019954,9.9,-17.82,14.4,6.48,24.1875,27.1176470588235,29.4285714285714,1054,16,17,7
"22",2015,"Arsenal",77.0087,73.530928,33.8574794,-15.89,6.97,-5.13,-14.05,22.6923076923077,24,29,468,13,6,1
"23",2015,"Tottenham",69.4142,63.419362,37.080929,35.1,1.44,-6.75,29.79,26,25.1333333333333,22.625,714,6,15,8
"24",2015,"Manchester United",56.4429,45.424211,39.655822,63.4,2.07,39.6,105.07,24.3571428571429,24.2142857142857,24.2,801,14,14,5
"25",2015,"Manchester City",70.136,66.19736,37.469231,60.288,22.23,78.75,161.268,22.6875,23.1666666666667,25.3333333333333,869,16,12,9
"26",2015,"Southampton",61.0763,56.201605,44.291609,4.23,23.31,19.8,47.34,24,26.6666666666667,24,656,9,12,5
"27",2015,"West Ham",49.8002,54.400567,55.478657,25.74,11.07,5.341,42.151,26.3636363636364,23.5833333333333,25,898,11,12,13
"28",2015,"Liverpool",63.2906,54.365662,37.8828599,83.385,18.99,-13.53,88.845,22.4375,23.3333333333333,25.8,908,16,18,5
"29",2015,"Stoke",48.3009,42.626573,54.349917,22.5,3.96,-3.96,22.5,25.75,26.7692307692308,26.2,582,4,13,5
"30",2015,"Chelsea",59.6233,54.479719,44.626242,41.4,35.46,-6.08,70.78,23.05,23.304347826087,22.1666666666667,1396,20,23,18
"31",2015,"Swansea",42.3999,39.958642,53.634229,-12.366,-5.855,0,-18.221,23.5833333333333,23.6666666666667,21.2,602,12,9,5
"32",2015,"Everton",52.6915,53.9810719,54.748804,11.43,12.33,-3.78,19.98,24.125,24.6363636363636,22,574,8,11,5
"33",2015,"Watford",48.2545,43.199637,51.851501,22.62,2.25,18.9,43.77,22.3333333333333,26.3157894736842,26.2142857142857,1068,9,19,14
"34",2015,"West Bromwich Albion",42.3035,39.7528703,51.936846,16.78,17.64,1.89,36.31,27.25,28.8333333333333,26.7142857142857,578,8,6,7
"35",2015,"Crystal Palace",44.8943,42.50767,52.938884,7.2,-9.09,10.48,8.59,28,23.4666666666667,24,796,9,15,8
"36",2015,"Bournemouth",43.7723,38.705838,53.968709,14.16,10.17,0,24.33,23.5238095238095,28.1666666666667,19.875,1160,21,18,8
"37",2015,"Sunderland",40.5241,40.517172,58.8502223,19.89,8.024,-1.03,26.884,25.5,25.1538461538462,25,705,6,13,9
"38",2015,"Newcastle United",40.2114,37.6056604,55.4230604,33.494,9.9,-22.77,20.624,20.9,22.6,25.0769230769231,761,10,10,13
"39",2015,"Norwich",39.1777,39.187494,58.930607,-8.1,1.62,12.6,6.12,24.3846153846154,25.7333333333333,24.1818181818182,969,13,15,11
"40",2015,"Aston Villa",29.814,26.5270594,59.009573,30.6,11.232,17.1,58.932,24.0714285714286,25.25,25.25,1145,14,24,8
"41",2016,"Chelsea",75.737,61.796887,28.6189194,31.5,35.55,31.828,98.878,23.8,23.875,22.5555555555556,1133,15,24,9
"42",2016,"Tottenham",75.3717,70.065979,33.7819329,24.84,-2.16,34.56,57.24,23.25,24,23.5,354,4,5,6
"43",2016,"Manchester City",85.4131,79.851438,29.607516,67.95,72.45,24.3,164.7,23.6923076923077,24.3684210526316,23.5833333333333,1054,13,19,12
"44",2016,"Liverpool",69.8308,66.632558,37.6523285,-31.32,-40.658,-43.2,-115.178,22.3333333333333,25.875,22.5714285714286,840,12,16,7
"45",2016,"Arsenal",62.1195,63.581257,47.071277,-2.7,21.6,23.4,42.3,22.5714285714286,22.8571428571429,27.4285714285714,510,7,7,7
"46",2016,"Manchester United",70.8942,57.571359,31.623915,-20.52,15.3,118.764,113.544,24,24,22.6,377,5,6,5
"47",2016,"Everton",55.7771,49.6324541,45.782984,-26.37,11.25,7.65,-7.47,25.9166666666667,26.4545454545455,27.6666666666667,685,12,11,3
"48",2016,"Bournemouth",43.1742,50.016134,62.992387,-55.71,1.485,8.42,-45.805,22.6153846153846,26.2727272727273,22.2727272727273,828,13,11,11
"49",2016,"Southampton",55.6851,49.9841215,43.084681,28.755,4.23,13.5,46.485,23.1428571428571,28.6666666666667,23.3333333333333,404,7,6,3
"50",2016,"West Ham",46.0425,48.245556,59.671571,33.12,6.39,16.56,56.07,23.9166666666667,23.5833333333333,22.2857142857143,726,12,12,7
"51",2016,"West Bromwich Albion",45.5854,38.213618,47.900151,6.93,-14.58,-8.01,-15.66,26.2857142857143,25.1666666666667,25,536,7,12,2
"52",2016,"Stoke",52.2932,47.874022,48.668726,-20.83,0.473,-11.25,-31.607,25.2857142857143,24.125,30.6666666666667,462,7,8,3
"53",2016,"Leicester",48.1195,44.340833,51.304373,45,3.15,18.45,66.6,24.1428571428571,26.9090909090909,25.25,667,7,11,8
"54",2016,"Crystal Palace",48.4526,45.40267,50.031654,-54.09,-18.945,-9.27,-82.305,25.0666666666667,27.3,24.5,845,15,10,8
"55",2016,"Swansea",36.4908,39.4995429,65.129661,-34.29,-23.04,5.04,-52.29,27.3,25.8333333333333,22,715,10,12,6
"56",2016,"Watford",40.6249,36.2545579,52.618014,-14.76,-25.42,-50.91,-91.09,21.9230769230769,26.75,25.9285714285714,1076,13,16,14
"57",2016,"Burnley",38.3581,35.591734,55.268617,2.7,-46.26,18.36,-25.2,23.4,24.5333333333333,25.1538461538462,929,10,15,13
"58",2016,"Hull",30.7344,33.839492,71.774424,0.445,3.69,14.04,18.175,23.2727272727273,27.6666666666667,23.3333333333333,562,11,6,6
"59",2016,"Middlesbrough",37.2534,30.9301263,55.3013599,5.711,-0.99,9.45,14.171,26.1666666666667,27,23.75,684,6,16,4
"60",2016,"Sunderland",32.2426,34.22368,65.663528,-2.88,-29.29,16.43,-15.74,26.375,25.8823529411765,27,1051,16,17,7
"61",2017,"Manchester City",91.0893,91.434145,24.5119177,38.05,130.86,3.69,172.6,22.6666666666667,26.0833333333333,22,1296,15,24,15
"62",2017,"Manchester United",62.3307,59.043412,43.540152,76.23,-19.67,40.23,96.79,22.6666666666667,21.9,24.2,408,3,10,5
"63",2017,"Tottenham",76.0162,68.911894,35.859433,11.7,52.56,-3.78,60.48,24.8,23.2727272727273,21.25,465,5,11,4
"64",2017,"Liverpool",79.3848,77.485119,35.7516207,37.8,4.86,34.2,76.86,21.5,25.75,23.8,497,8,8,5
"65",2017,"Chelsea",68.457,59.160689,34.0347137,52.29,41.22,66.51,160.02,22.5,23.8484848484848,22.2666666666667,1391,12,33,15
"66",2017,"Arsenal",65.8991,72.269335,48.745316,47.7,0,0,47.7,25.6,24.3636363636364,22,440,5,11,2
"67",2017,"Burnley",41.0017,32.771712,52.156891,21.69,0.756,8.19,30.636,26.5833333333333,26.4,25.5,685,12,10,4
"68",2017,"Everton",47.0015,43.707511,55.495772,1.476,47.97,78.48,127.926,24.0909090909091,23.2727272727273,24.6666666666667,817,11,11,12
"69",2017,"Leicester",55.8547,50.2887137,49.358723,15.03,-1.575,4.23,17.685,25.75,27.25,23.9,560,4,8,10
"70",2017,"Crystal Palace",58.0345,56.749704,53.535269,0,32.22,0,32.22,24.5,22.9090909090909,24.8571428571429,573,6,11,7
"71",2017,"Bournemouth",37.6404,39.99186,64.93249,-19.89,21.42,0,1.53,26.2222222222222,26,0,496,9,10,0
"72",2017,"Newcastle United",46.238,44.625608,52.472364,10.51,10.35,0.45,21.31,24.75,24.2352941176471,26.375,1019,16,17,8
"73",2017,"West Ham",39.2592,36.80133,58.368869,36.09,-7.38,2.475,31.185,26,26,19.2,668,10,12,5
"74",2017,"Watford",46.6939,45.847429,53.981191,23.01,-5.04,6.66,24.63,24.0714285714286,26.7777777777778,26.0833333333333,1132,14,18,12
"75",2017,"Brighton",40.8472,37.2144165,53.083801,13.5,11.133,16.2,40.833,27.3333333333333,26.0625,23.5833333333333,864,6,16,12
"76",2017,"Huddersfield",36.8432,32.1338432,53.216161,15.57,2.25,7.92,25.74,24.3636363636364,26.9166666666667,22.625,772,11,12,8
"77",2017,"Southampton",48.7157,41.880147,46.555427,-0.54,19.26,15.53,34.25,22.8333333333333,24.1111111111111,23,469,6,9,5
"78",2017,"Stoke",36.1678,36.754259,65.540984,-41.85,16.29,0,-25.56,25.7272727272727,24.1176470588235,30,783,11,17,3
"79",2017,"Swansea",32.3071,29.7130847,61.833604,1.53,-17.473,33.57,17.627,25.6666666666667,24.8333333333333,24.8,854,12,12,10
"80",2017,"West Bromwich Albion",42.9637,35.184401,48.993914,29.92,5.13,-5.4,29.65,21.7,24.1666666666667,31.2,518,10,6,5
"81",2018,"Manchester City",90.6406,93.720559,25.7326041,61.821,-34.07,0,27.751,22.4285714285714,21.8571428571429,22.875,646,7,14,8
"82",2018,"Liverpool",83.4541,79.45754,29.145105,-6.48,56.25,94.5,144.27,21.5384615384615,27,21.7142857142857,675,13,9,7
"83",2018,"Chelsea",71.451,63.968004,38.107687,-9.9,66.78,51.3,108.18,22.2,24.8695652173913,23.5555555555556,895,5,23,9
"84",2018,"Tottenham",61.44,61.746657,49.146068,0,0,0,0,24,20.5,20,125,1,2,3
"85",2018,"Arsenal",58.9713,64.795372,57.2974875,-5.95,36.9,32.99,63.94,25,27,23.5,638,8,11,6
"86",2018,"Manchester United",61.8596,68.617498,52.30019,0,21.33,53.1,74.43,22.5,23.4,27.6666666666667,362,2,10,3
"87",2018,"Wolverhampton Wanderers",59.9145,53.0586916,42.691294,-44.46,11.97,3.24,-29.25,23.7142857142857,24.5555555555556,25.5555555555556,1170,21,18,9
"88",2018,"Everton",55.5378,53.866134,49.3097899,35.28,52.52,1.805,89.605,24.2,26.3076923076923,24.1111111111111,801,10,13,9
"89",2018,"West Ham",43.7194,47.9605279,65.662023,57.51,21.33,-8.42,70.42,24.5,26.5,23.8,699,8,10,10
"90",2018,"Leicester",56.2378,52.114153,44.642585,-16.83,61.983,22.5,67.653,26.8571428571429,25.7,21.75,619,7,10,8
"91",2018,"Watford",46.0015,51.733546,63.291171,10.386,9.765,3.02,23.171,24.1176470588235,24.2352941176471,23.2,938,17,17,5
"92",2018,"Crystal Palace",51.9255,50.642166,52.804285,0,0,9.63,9.63,27.3333333333333,29.8,26,335,3,5,4
"93",2018,"Newcastle United",39.2231,39.9106505,57.545492,5.76,11.745,-5.22,12.285,24.5833333333333,26.6153846153846,24.9,890,12,13,10
"94",2018,"Bournemouth",51.4947,58.812899,62.423162,10.17,13.5,25.2,48.87,25.4,25.5,25.5,611,10,10,4
"95",2018,"Burnley",41.9982,44.7412159,66.122065,0.45,18.72,0,19.17,25.4285714285714,26.6666666666667,27.6666666666667,341,7,3,3
"96",2018,"Southampton",45.1075,49.671325,59.271714,7.78,32.67,3.65,44.1,24.5714285714286,27.25,25.75,596,7,8,8
"97",2018,"Brighton",36.186,37.027868,62.462145,12.384,8.34,13.41,34.134,24.3571428571429,26,25.75,1015,14,18,8
"98",2018,"Cardiff",37.4492,41.7697266,66.503167,-38.02,-33.3,-2.7,-74.02,25.6,28.5714285714286,26,586,10,7,5
"99",2018,"Fulham",33.6044,42.621864,73.58661,22.59,25.7,49.37,97.66,24.8,24.6666666666667,24.75,519,5,12,4
"100",2018,"Huddersfield",29.6106,29.002263,67.194016,14.04,2.56,2.25,18.85,24,25.8461538461538,26.6666666666667,584,7,13,3
"101",2019,"Liverpool",74.2784,75.19337,39.5728982,0,-26.37,0,-26.37,23.3,26.8888888888889,21.5,561,10,9,4
"102",2019,"Manchester City",86.7564,102.205233,36.997629,0,39.08,28.62,67.7,22,23.9411764705882,22.7894736842105,928,4,17,19
"103",2019,"Manchester United",70.9917,66.186663,38.059164,15.3,127.8,0,143.1,22.6666666666667,24.5454545454545,29,435,6,11,1
"104",2019,"Chelsea",73.4872,76.227787,41.0882999,-16.2,-42.526,35.361,-23.365,25,26.4,24,944,8,20,9
"105",2019,"Leicester",61.1553,61.0171647,47.894043,-19.98,6.03,57.78,43.83,27.5714285714286,24.8,24.5,464,7,5,6
"106",2019,"Tottenham",49.2646,49.021303,54.127111,6.48,0,92.7,99.18,23.8333333333333,29.75,21.5,348,6,4,4
"107",2019,"Wolverhampton Wanderers",63.8213,54.223981,37.3892739,62.01,-29.25,20.43,53.19,23.4375,23.6923076923077,22.6,796,16,13,5
"108",2019,"Arsenal",50.1471,50.822218,57.252266,46.53,6.21,-35.1,17.64,21.8888888888889,26.8461538461538,24.5714285714286,718,9,13,7
"109",2019,"Burnley",49.5405,49.3468938,53.839223,5,-8.23,-1.08,-4.31,28,30.6,25,393,5,5,4
"110",2019,"Sheffield United",49.3411,45.811621,52.042457,30.06,0,8.55,38.61,25.25,26.4166666666667,27.375,738,8,12,8
"111",2019,"Southampton",56.8654,56.496626,56.592573,44.91,3.6,-19.53,28.98,25.0909090909091,25,26.7142857142857,663,11,8,7
"112",2019,"Everton",55.7761,53.710143,49.211622,38.61,-25.38,45.9,59.13,25.4666666666667,27.2727272727273,25,957,15,11,11
"113",2019,"Newcastle United",31.9173,36.491737,67.029351,37.93,5.76,-8.64,35.05,24.6666666666667,23.8333333333333,24.8,489,9,6,5
"114",2019,"Crystal Palace",38.263,34.4479555,57.392237,-19.08,-12.15,4.32,-26.91,25.8,27.3,29.75,521,5,10,4
"115",2019,"Brighton",48.0241,47.424061,60.415849,21.08,-15.1,-8.37,-2.39,23.2,26.5,23.625,908,15,14,8
"116",2019,"West Ham",38.7474,49.0691132,68.323322,47.52,-2.61,1.71,46.62,27,25.8571428571429,24.375,592,8,7,8
"117",2019,"Aston Villa",37.2269,45.088989,71.595382,21.87,48.78,13,83.65,24.9090909090909,26.6875,28,925,11,16,8
"118",2019,"Watford",47.8737,48.562637,59.528113,4.32,5.4,-21.69,-11.97,22.4375,24.5555555555556,21.5,666,16,9,4
"119",2019,"Bournemouth",39.1979,44.6710449,63.294345,18.63,8.87,9.45,36.95,25.5714285714286,25.25,22.2857142857143,436,7,4,7
"120",2019,"Norwich",33.1223,37.2341749,71.607557,-37.71,-0.873,0.302,-38.281,24.75,23.7,24,654,12,10,5
